"","department_id","number_of_orders","number_of_first_orders","percentage"
"571",1,506,249,0.49
"572",1,72,41,0.57
"573",1,10,6,0.6
"574",1,148,63,0.43
"575",1,46,30,0.65
"576",1,148,85,0.57
"577",1,329,180,0.55
"578",1,30,17,0.57
"579",1,81,69,0.85
"580",1,60,41,0.68
"581",1,8,7,0.88
"582",1,10,7,0.7
"583",1,32,20,0.62
"584",1,220,174,0.79
"585",1,1005,551,0.55
"586",1,174,130,0.75
"587",1,25,12,0.48
"588",1,453,288,0.64
"589",1,951,527,0.55
"590",1,25,17,0.68
"591",1,850,317,0.37
"592",1,1577,629,0.4
"593",1,57,31,0.54
"594",1,51,33,0.65
"595",1,2,2,1
"596",1,3569,1310,0.37
"597",1,111,73,0.66
"598",1,81,25,0.31
"599",1,458,258,0.56
"600",1,6,5,0.83
"601",1,149,77,0.52
"602",1,1171,448,0.38
"603",1,222,151,0.68
"604",1,88,72,0.82
"605",1,199,126,0.63
"606",1,11,10,0.91
"607",1,29,23,0.79
"608",1,9,6,0.67
"609",1,88,54,0.61
"610",1,50,35,0.7
"611",1,284,152,0.54
"612",1,43,32,0.74
"613",1,135,54,0.4
"614",1,305,181,0.59
"615",1,512,260,0.51
"616",1,2961,1534,0.52
"617",1,29,17,0.59
"618",1,44,32,0.73
"619",1,27,17,0.63
"620",1,169,63,0.37
"621",1,493,255,0.52
"622",1,66,31,0.47
"623",1,89,31,0.35
"624",1,417,200,0.48
"625",1,32,24,0.75
"626",1,295,113,0.38
"627",1,186,93,0.5
"628",1,231,155,0.67
"629",1,314,196,0.62
"630",1,101,60,0.59
"631",1,178,68,0.38
"632",1,88,48,0.55
"633",1,18,14,0.78
"634",1,1445,635,0.44
"635",1,92,37,0.4
"636",1,1078,348,0.32
"637",1,23,16,0.7
"638",1,93,42,0.45
"639",1,548,293,0.53
"640",1,9,5,0.56
"641",1,166,63,0.38
"642",1,9,4,0.44
"643",1,1203,450,0.37
"644",1,107,90,0.84
"645",1,1622,675,0.42
"646",1,336,210,0.62
"647",1,18,14,0.78
"648",1,107,47,0.44
"649",1,6,6,1
"650",1,68,47,0.69
"651",1,12,6,0.5
"652",1,27,15,0.56
"653",1,193,120,0.62
"654",1,453,255,0.56
"655",1,842,567,0.67
"656",1,2186,930,0.43
"657",1,94,43,0.46
"658",1,28,18,0.64
"659",1,191,70,0.37
"660",1,23,18,0.78
"661",1,75,38,0.51
"662",1,641,324,0.51
"663",1,8,5,0.62
"664",1,33,12,0.36
"665",1,6,5,0.83
"666",1,918,504,0.55
"667",1,47,23,0.49
"668",1,3,3,1
"669",1,6,4,0.67
"670",1,317,163,0.51
"671",1,29,11,0.38
"672",1,66,59,0.89
"673",1,59,26,0.44
"674",1,432,277,0.64
"675",1,11,11,1
"676",1,134,63,0.47
"677",1,297,137,0.46
"678",1,396,254,0.64
"679",1,3960,1803,0.46
"680",1,81,57,0.7
"681",1,21,15,0.71
"682",1,2298,953,0.41
"683",1,18,11,0.61
"684",1,8,7,0.88
"685",1,1329,705,0.53
"686",1,13715,4497,0.33
"687",1,4,4,1
"688",1,27,6,0.22
"689",1,64,30,0.47
"690",1,4431,1705,0.38
"691",1,5112,2061,0.4
"692",1,21,16,0.76
"693",1,482,210,0.44
"694",1,122,61,0.5
"695",1,110,55,0.5
"696",1,487,239,0.49
"697",1,36,23,0.64
"698",1,3,2,0.67
"699",1,106,46,0.43
"700",1,11,7,0.64
"701",1,94,63,0.67
"702",1,121,47,0.39
"703",1,458,257,0.56
"704",1,42,28,0.67
"705",1,18,14,0.78
"706",1,375,257,0.69
"707",1,34,26,0.76
"708",1,196,113,0.58
"709",1,95,54,0.57
"710",1,7,7,1
"711",1,435,179,0.41
"712",1,1545,562,0.36
"713",1,194,129,0.66
"714",1,64,43,0.67
"715",1,2,2,1
"716",1,142,93,0.65
"717",1,404,165,0.41
"718",1,29,19,0.66
"719",1,231,88,0.38
"720",1,3234,1499,0.46
"721",1,357,163,0.46
"722",1,1463,518,0.35
"723",1,212,121,0.57
"724",1,326,198,0.61
"725",1,23,13,0.57
"726",1,59,24,0.41
"727",1,99,49,0.49
"728",1,58,28,0.48
"729",1,32,12,0.38
"730",1,24,22,0.92
"731",1,228,129,0.57
"732",1,390,141,0.36
"733",1,27,10,0.37
"734",1,861,382,0.44
"735",1,8,6,0.75
"736",1,253,149,0.59
"737",1,23,16,0.7
"738",1,4136,1990,0.48
"739",1,36,26,0.72
"740",1,196,97,0.49
"741",1,33,7,0.21
"742",1,228,105,0.46
"743",1,983,619,0.63
"744",1,3,3,1
"745",1,51,24,0.47
"746",1,120,66,0.55
"747",1,7,6,0.86
"748",1,74,28,0.38
"749",1,327,186,0.57
"750",1,117,49,0.42
"751",1,764,334,0.44
"752",1,3,3,1
"753",1,56,36,0.64
"754",1,2908,1411,0.49
"755",1,114,61,0.54
"756",1,516,284,0.55
"757",1,40,18,0.45
"758",1,312,158,0.51
"759",1,275,145,0.53
"760",1,44,21,0.48
"761",1,3468,1678,0.48
"762",1,134,72,0.54
"763",1,656,284,0.43
"764",1,3,3,1
"765",1,9,5,0.56
"766",1,13,9,0.69
"767",1,61,46,0.75
"768",1,46,18,0.39
"769",1,292,141,0.48
"770",1,46,21,0.46
"771",1,1944,1072,0.55
"772",1,55946,23354,0.42
"773",1,13,11,0.85
"774",1,66,30,0.45
"775",1,38,18,0.47
"776",1,355,177,0.5
"777",1,7176,2493,0.35
"778",1,5,4,0.8
"779",1,533,257,0.48
"780",1,86,56,0.65
"781",1,493,268,0.54
"782",1,30,20,0.67
"783",1,610,274,0.45
"784",1,45,35,0.78
"785",1,43,21,0.49
"786",1,355,86,0.24
"787",1,664,346,0.52
"788",1,9,7,0.78
"789",1,354,249,0.7
"790",1,102,52,0.51
"791",1,4,3,0.75
"792",1,2912,1019,0.35
"793",1,217,131,0.6
"794",1,330,187,0.57
"795",1,52,24,0.46
"796",1,6,6,1
"797",1,6,5,0.83
"798",1,559,265,0.47
"799",1,1007,506,0.5
"800",1,5260,2695,0.51
"801",1,30,14,0.47
"802",1,12,7,0.58
"803",1,2678,1308,0.49
"804",1,620,249,0.4
"805",1,350,186,0.53
"806",1,811,401,0.49
"807",1,2,2,1
"808",1,8162,2961,0.36
"809",1,14,10,0.71
"810",1,2414,948,0.39
"811",1,203,114,0.56
"812",1,27,21,0.78
"813",1,58,44,0.76
"814",1,5,5,1
"815",1,601,298,0.5
"816",1,11,10,0.91
"817",1,5361,1684,0.31
"818",1,50,29,0.58
"819",1,488,297,0.61
"820",1,41,26,0.63
"821",1,14,10,0.71
"822",1,109,41,0.38
"823",1,96,61,0.64
"824",1,66,47,0.71
"825",1,57,27,0.47
"826",1,1316,492,0.37
"827",1,409,211,0.52
"828",1,132,62,0.47
"829",1,47,27,0.57
"830",1,4,3,0.75
"831",1,42,23,0.55
"832",1,7010,3066,0.44
"833",1,34,29,0.85
"834",1,60,42,0.7
"835",1,2000,777,0.39
"836",1,73,35,0.48
"837",1,591,337,0.57
"838",1,14,10,0.71
"839",1,88,33,0.38
"840",1,10704,3283,0.31
"841",1,17,12,0.71
"842",1,124,69,0.56
"843",1,121,60,0.5
"844",1,306,159,0.52
"845",1,17,10,0.59
"846",1,60,31,0.52
"847",1,198,87,0.44
"848",1,416,262,0.63
"849",1,154,103,0.67
"850",1,21,13,0.62
"851",1,6,3,0.5
"852",1,7,7,1
"853",1,104,51,0.49
"854",1,17,15,0.88
"855",1,97,55,0.57
"856",1,4,4,1
"857",1,54,20,0.37
"858",1,3,3,1
"859",1,67,37,0.55
"860",1,6,4,0.67
"861",1,770,412,0.54
"862",1,339,130,0.38
"863",1,1220,572,0.47
"864",1,55,17,0.31
"865",1,125,53,0.42
"866",1,40,23,0.57
"867",1,116,55,0.47
"868",1,6,5,0.83
"869",1,108,78,0.72
"870",1,792,289,0.36
"871",1,8,8,1
"872",1,160,87,0.54
"873",1,1376,691,0.5
"874",1,600,409,0.68
"875",1,71,60,0.85
"876",1,13,11,0.85
"877",1,4207,2083,0.5
"878",1,69,35,0.51
"879",1,650,271,0.42
"880",1,21,5,0.24
"881",1,19,14,0.74
"882",1,6,6,1
"883",1,325,161,0.5
"884",1,402,213,0.53
"885",1,39,16,0.41
"886",1,11,6,0.55
"887",1,2696,1178,0.44
"888",1,15,13,0.87
"889",1,11,10,0.91
"890",1,597,382,0.64
"891",1,1074,574,0.53
"892",1,75,31,0.41
"893",1,59,26,0.44
"894",1,7,3,0.43
"895",1,793,534,0.67
"896",1,759,331,0.44
"897",1,7,4,0.57
"898",1,361,163,0.45
"899",1,12,8,0.67
"900",1,101,46,0.46
"901",1,734,310,0.42
"902",1,433,142,0.33
"903",1,67,33,0.49
"904",1,689,191,0.28
"905",1,61,41,0.67
"906",1,85,44,0.52
"907",1,18,17,0.94
"908",1,468,170,0.36
"909",1,47,18,0.38
"910",1,2,2,1
"911",1,431,189,0.44
"912",1,147,73,0.5
"913",1,1954,775,0.4
"914",1,970,525,0.54
"915",1,773,534,0.69
"916",1,551,419,0.76
"917",1,442,283,0.64
"918",1,117,73,0.62
"919",1,43,28,0.65
"920",1,3,3,1
"921",1,672,289,0.43
"922",1,65,39,0.6
"923",1,495,216,0.44
"924",1,20,14,0.7
"925",1,30,20,0.67
"926",1,10,6,0.6
"927",1,12,10,0.83
"928",1,590,283,0.48
"929",1,89,51,0.57
"930",1,81,46,0.57
"931",1,6,6,1
"932",1,10,5,0.5
"933",1,580,258,0.44
"934",1,71,40,0.56
"935",1,179,109,0.61
"936",1,54,34,0.63
"937",1,77,54,0.7
"938",1,39,31,0.79
"939",1,5,5,1
"940",1,92,36,0.39
"941",1,5,4,0.8
"942",1,82,48,0.59
"943",1,30,25,0.83
"944",1,243,99,0.41
"945",1,399,160,0.4
"946",1,40,29,0.72
"947",1,2384,1513,0.63
"948",1,63,30,0.48
"949",1,10,8,0.8
"950",1,202,71,0.35
"951",1,7,6,0.86
"952",1,6,4,0.67
"953",1,495,252,0.51
"954",1,32,24,0.75
"955",1,30,10,0.33
"956",1,94,27,0.29
"957",1,550,344,0.63
"958",1,8,6,0.75
"959",1,71,48,0.68
"960",1,385,157,0.41
"961",1,34,14,0.41
"962",1,20,6,0.3
"963",1,15,11,0.73
"964",1,16,12,0.75
"965",1,1118,472,0.42
"966",1,483,250,0.52
"967",1,73,31,0.42
"968",1,7,3,0.43
"969",1,322,166,0.52
"970",1,31,13,0.42
"971",1,125,91,0.73
"972",1,208,139,0.67
"973",1,91,65,0.71
"974",1,42,31,0.74
"975",1,458,188,0.41
"976",1,8436,2448,0.29
"977",1,43,29,0.67
"978",1,5,5,1
"979",1,11,8,0.73
"980",1,261,149,0.57
"981",1,18,12,0.67
"982",1,861,402,0.47
"983",1,248,170,0.69
"984",1,33,11,0.33
"985",1,1523,838,0.55
"986",1,679,453,0.67
"987",1,171,91,0.53
"988",1,15,12,0.8
"989",1,10,7,0.7
"990",1,275,111,0.4
"991",1,285,139,0.49
"992",1,6,6,1
"993",1,9,7,0.78
"994",1,138,69,0.5
"995",1,8,6,0.75
"996",1,318,115,0.36
"997",1,4,2,0.5
"998",1,59,40,0.68
"999",1,204,114,0.56
"1000",1,217,99,0.46
"1001",1,69,53,0.77
"1002",1,49,42,0.86
"1003",1,720,371,0.52
"1004",1,2419,1020,0.42
"1005",1,20,16,0.8
"1006",1,20,12,0.6
"1007",1,1288,707,0.55
"1008",1,729,319,0.44
"1009",1,236,100,0.42
"1010",1,133,56,0.42
"1011",1,3170,931,0.29
"1012",1,686,326,0.48
"1013",1,115,40,0.35
"1014",1,7,7,1
"1015",1,127,83,0.65
"1016",1,17,12,0.71
"1017",1,852,333,0.39
"1018",1,43,31,0.72
"1019",1,43,32,0.74
"1020",1,177,112,0.63
"1021",1,714,464,0.65
"1022",1,195,72,0.37
"1023",1,10,8,0.8
"1024",1,278,127,0.46
"1025",1,65,41,0.63
"1026",1,275,143,0.52
"1027",1,30,21,0.7
"1028",1,540,349,0.65
"1029",1,66,27,0.41
"1030",1,5377,2462,0.46
"1031",1,50,31,0.62
"1032",1,675,403,0.6
"1033",1,54,21,0.39
"1034",1,2484,1363,0.55
"1035",1,34,9,0.26
"1036",1,463,264,0.57
"1037",1,726,376,0.52
"1038",1,876,327,0.37
"1039",1,26,13,0.5
"1040",1,8137,4274,0.53
"1041",1,60,42,0.7
"1042",1,215,99,0.46
"1043",1,109,69,0.63
"1044",1,186,91,0.49
"1045",1,7,5,0.71
"1046",1,13,6,0.46
"1047",1,2559,1079,0.42
"1048",1,312,146,0.47
"1049",1,20,15,0.75
"1050",1,37,25,0.68
"1051",1,344,255,0.74
"1052",1,1574,814,0.52
"1053",1,225,145,0.64
"1054",1,23,17,0.74
"1055",1,170,95,0.56
"1056",1,27,15,0.56
"1057",1,19,16,0.84
"1058",1,709,319,0.45
"1059",1,21,16,0.76
"1060",1,200,91,0.46
"1061",1,459,218,0.47
